exporter	ann_rca
ABW	0.982795793894761
AFG	0.9416773395354683
AGO	0.97067555967866
ALB	0.7690608818777595
ARE	0.9085890406034062
ARG	1.3151079170766111
ARM	0.8535211946942663
AUS	0.9578011633691573
AUT	0.9979287458793805
AZE	0.987162072706224
BEL	1.0095933707218365
BEN	1.0577201394782436
BFA	0.9569059270044696
BGD	0.9428528649282596
BGR	0.8724114279678453
BHR	0.8305353182380613
BHS	1.2220759786223079
BIH	0.856248494598081
BLR	1.0959757694818992
BMU	1.399913131217396
BOL	1.0195769515234414
BRA	1.345989721855862
BRN	0.9517838624023678
BWA	0.8420493309349806
CAN	1.017638262715584
CHE	1.241329934211713
CHL	0.8891182493934416
CHN	1.226156758427208
CIV	0.8744164908068038
CMR	0.9279551464314738
COD	0.9629550929051768
COG	1.1049878880535458
COL	1.0782590867809647
CRI	0.9315520857864995
CUB	1.0760447162399358
CUW	1.0771618156235447
CYP	0.8082789073111406
CZE	1.2227264163085265
DEU	1.00461843856942
DJI	0.8884005069169049
DNK	0.8018180657032357
DOM	0.8540814110666649
DZA	0.967212262201731
ECU	1.0180879316151008
EGY	0.8930008974852114
ESP	0.7706846796323702
EST	0.8949356242021902
ETH	1.0366941192092514
FIN	0.9281704057691218
FJI	0.8565138759558111
FRA	0.8810262628186534
GAB	1.0134319189358618
GBR	0.848926824018472
GEO	0.8543338644944025
GHA	0.8920256453440649
GIB	3.475833693598902
GIN	0.9445043770240359
GNQ	1.0909697567684058
GRC	0.7397542092914984
GTM	0.8873711622273365
GUY	0.9039064435079323
HKG	1.5417959209601482
HND	0.8351242734745188
HRV	0.8192108346095461
HTI	0.8104913691764574
HUN	1.3039629602373868
IDN	1.0910245226795836
IND	1.130267714942107
IRL	0.8450635648123616
IRN	1.0694773294894548
IRQ	0.9036420000737441
ISL	0.8301632919498709
ISR	0.9663674881784029
ITA	0.8196375196373891
JAM	0.9137114684664842
JOR	0.7250722933399317
JPN	0.8394300141006493
KAZ	0.8812471046766706
KEN	0.8797357603961196
KGZ	0.9445644919584648
KHM	0.9415737247938698
KOR	1.1430469339520537
KWT	0.7774013911843668
LAO	1.0054510274298614
LBN	0.7584023240346709
LBR	1.866044006761538
LBY	0.8451825338904724
LKA	0.8976867109685096
LTU	0.8135278820677507
LUX	0.9747708492282222
LVA	0.804721295694989
MAC	0.9381532501674835
MAR	0.9003918628689959
MDA	0.8756658388085089
MDG	0.9706302621000071
MEX	1.317475875335177
MHL	3.2527860023695463
MKD	0.8278550928705906
MLI	0.8567956420364917
MLT	1.2235606314755976
MMR	0.945446466531831
MNE	0.832375166414522
MNG	0.9588041963257316
MOZ	0.8757220263600929
MRT	0.8319836510372042
MUS	0.7743409597621039
MWI	0.9794858215610498
MYS	1.079148718640016
NAM	0.7372581819419213
NCL	0.9374829589285519
NER	0.8396632847523762
NGA	0.8881692138709718
NIC	0.8813965233168882
NLD	0.7933530180794596
NOR	0.8765153709542486
NPL	0.8256567617799269
NZL	0.810578874345906
OMN	0.861342676578746
PAK	0.9099017542675498
PAN	1.3840249576659598
PER	1.0619750321107357
PHL	0.9730280473886443
PNG	1.0680668932644384
POL	1.005645648338326
PRK	0.8621463515348506
PRT	0.7376840672201942
PRY	1.0595156540007677
PSE	0.9240780944842876
QAT	0.9014891634783021
ROU	1.0771652203251236
RUS	0.9650402827557084
SAU	0.8924577863901332
SDN	0.8585473179048936
SEN	0.8412118000715316
SGP	1.4775957929378138
SLV	0.8187230356113582
SRB	0.9333415470925005
SUR	0.9129833813437299
SVK	1.181729533749846
SVN	0.9595682361182307
SWE	0.9828198565261081
SWZ	0.7196164261755437
SYR	0.813586682228853
TCD	1.1369629736045614
TGO	0.9890315208948509
THA	1.2937796109280117
TJK	0.9291388261639945
TKM	1.1280302587319542
TTO	0.9134358370600278
TUN	0.9297278610013129
TUR	1.1124636049802639
TZA	0.8974600331060633
UGA	0.9592644897920936
UKR	0.8993386023337894
URY	0.93331335329424
USA	1.0135063530716193
UZB	1.215608203544085
VEN	1.052197206554036
VGB	1.6461756356036275
VNM	0.9559720426476173
YEM	0.8091743878628714
ZAF	1.0170912490909092
ZMB	1.0703247743641346
ZWE	0.9333884543620602
