exporter	ann_rpop
ABW	0.8385321263736616
AFG	1.3002177192200959
AGO	0.819229780535104
ALB	0.5787878307018498
ARE	0.7826095457005928
ARG	1.4261160003385442
ARM	0.7009506790607811
AUS	0.9035686790040006
AUT	0.7659971874756045
AZE	0.7578017078046205
BEL	0.7265135842676218
BEN	0.9881448754155531
BFA	1.760332308001233
BGD	1.483691395330146
BGR	0.7487064744425839
BHR	0.9041603002850253
BHS	0.8275671060363711
BIH	0.7052782002335706
BLR	0.858103026582475
BMU	0.8183709297060323
BOL	0.973234065143731
BRA	1.3189625278368742
BRN	0.9556624490389843
BWA	0.6394722156431123
CAN	0.7886779408256213
CHE	0.7731683792501499
CHL	0.8889712684302501
CHN	0.975834284135831
CIV	1.1100924024586198
CMR	1.5634637276565615
COD	2.1162242668393936
COG	0.7445810364873438
COL	0.8631588484070448
CRI	0.7720637564452816
CUB	0.9148220471480537
CUW	0.8792725573902406
CYP	0.8766244157609148
CZE	0.7984836465082144
DEU	0.7444834840255399
DJI	0.6567218574775014
DNK	0.7944291064055488
DOM	0.5582792257773366
DZA	1.0396480952833114
ECU	0.6839308299507669
EGY	0.7916030834621623
ESP	0.7925152468814303
EST	0.8264812247901879
ETH	4.344840895941449
FIN	0.7970308153007318
FJI	0.5841010854174767
FRA	0.7577625079823925
GAB	0.9525380408175315
GBR	0.7835848231097033
GEO	0.6436410819558117
GHA	0.7726690755696185
GIB	0.9983404207897253
GIN	1.2832046366933194
GNQ	1.0638575419891347
GRC	0.6311373015610898
GTM	0.5687030204301383
GUY	0.6922323368295403
HKG	0.7866030680041874
HND	0.65244526239831
HRV	0.8031821771740643
HTI	1.053972818501771
HUN	0.8697150233870095
IDN	1.073609717651989
IND	2.6992321172102947
IRL	0.8234590507514032
IRN	0.8556075123435116
IRQ	0.7328498650320764
ISL	0.8936158891961498
ISR	0.854201867345256
ITA	0.767643790680159
JAM	0.5752245972552005
JOR	0.5948828777795033
JPN	0.8891835951161228
KAZ	0.7932806846761349
KEN	1.441354840416535
KGZ	0.7099895053629969
KHM	0.8005469431948425
KOR	0.8579121894006156
KWT	0.9134747667549398
LAO	0.7645942052472737
LBN	0.6857553901483276
LBR	1.2747721400574343
LBY	0.7024591366863694
LKA	0.8647956023522011
LTU	0.8363685857984035
LUX	0.7914732019746769
LVA	0.8300962559508211
MAC	0.8265567346336189
MAR	0.7750264813811477
MDA	0.5243378961708574
MDG	2.3261445066488524
MEX	1.228388206862265
MHL	1.4148084982327436
MKD	0.5460843098587813
MLI	1.7693365908403829
MLT	0.8861628160707538
MMR	1.185578480503513
MNE	0.6131849701941703
MNG	0.7053317671798468
MOZ	1.2992922055750848
MRT	0.6030166431351405
MUS	0.5445671596318158
MWI	1.7105320537575828
MYS	0.892334196548418
NAM	0.7248730117490306
NCL	0.9872495437758624
NER	2.68533979226616
NGA	1.6032769588972595
NIC	0.6910695055674216
NLD	0.7360613445728631
NOR	0.8137578576234258
NPL	1.5307241973960635
NZL	0.8861364940978115
OMN	0.9698802871608468
PAK	1.5615885766358872
PAN	0.9569803692970126
PER	0.7992438147769009
PHL	0.9391155118915927
PNG	0.8644825208251493
POL	0.8287303396106565
PRK	1.9305152640431957
PRT	0.7873920823394593
PRY	0.72870153189998
PSE	0.6961955190345919
QAT	0.9509532037001542
ROU	0.956613903638294
RUS	1.0672835144446844
SAU	0.9315535214173128
SDN	1.3741227960873565
SEN	0.9156565729594133
SGP	0.7681204442234093
SLV	0.5687721757795711
SRB	0.8027270029376591
SUR	0.8097685677491745
SVK	0.8234242174170278
SVN	0.7935860609570571
SWE	0.7904674176728392
SWZ	0.42605621998755827
SYR	0.8173097592173593
TCD	3.252750325367969
TGO	0.8025275522818056
THA	1.2020794445558256
TJK	0.8179025424540151
TKM	0.9328370340907949
TTO	0.9428636829674029
TUN	0.8773533437187767
TUR	1.0733587220382819
TZA	1.7966024897385902
UGA	3.1394939254683223
UKR	0.7209826726505706
URY	0.8170942114577799
USA	0.9067291767540816
UZB	1.391636228249305
VEN	1.0147208119822337
VGB	0.9333699165391088
VNM	0.876621475899131
YEM	1.1138609993856163
ZAF	1.0384570890821965
ZMB	1.2212883227954312
ZWE	1.157568905435991
