exporter	var_rpop
ABW	0.9488284105077369
AFG	0.06905675766298207
AGO	0.07424978627894428
ALB	0.28133151884089636
ARE	1.131100457685146
ARG	0.5490523573054519
ARM	0.2742392066467666
AUS	0.7786725518210034
AUT	1.1135090292021141
AZE	0.1455269534933631
BEL	1.0325010911006203
BEN	0.2516756725964656
BFA	0.013458732603539863
BGD	0.06536609769824758
BGR	1.0804272710867837
BHR	0.9228662830755217
BHS	0.8086626707708388
BIH	0.8759509829623477
BLR	1.1515132308705645
BMU	0.7123145557525261
BOL	0.1030885736377339
BRA	0.4732060122132891
BRN	1.0231603442640278
BWA	0.28848602681253255
CAN	1.2153356180679389
CHE	1.2200560028350238
CHL	0.4831155236213413
CHN	1.0011142013282748
CIV	0.06784129600817763
CMR	0.04263996161320164
COD	0.028837615118003382
COG	0.19154151474290995
COL	0.4903475553934735
CRI	0.8957875448835161
CUB	0.0688892269512977
CUW	0.873767289447238
CYP	0.9258400696979293
CZE	1.193730211224646
DEU	1.0661131749681592
DJI	0.050965987442108535
DNK	1.1980938875708225
DOM	0.5089316492593966
DZA	0.14166675892848665
ECU	0.5293415342699513
EGY	0.4057895966210474
ESP	1.0960180008128542
EST	1.2178820663290038
ETH	0.032327433568094484
FIN	1.3322737562243587
FJI	0.21617984582015734
FRA	1.134783052311099
GAB	0.1282315770043559
GBR	1.2202561075672553
GEO	0.3977930650123109
GHA	0.19493818217596182
GIB	0.7852329552183649
GIN	0.18166147038009772
GNQ	0.06582623283673336
GRC	0.7394934315021375
GTM	0.35840428372297883
GUY	0.4290912306864362
HKG	1.1670191400755496
HND	0.28144666172882427
HRV	1.0586732531147232
HTI	0.04234732610061144
HUN	1.2362457050055835
IDN	0.28932598817557265
IND	0.26718357695100564
IRL	1.1715390069585077
IRN	0.20592689041286866
IRQ	0.03363946448648058
ISL	0.9119736702446771
ISR	1.1176738393081216
ITA	1.1801925472121158
JAM	0.1798882951315166
JOR	0.5442276133954512
JPN	1.4649398777294607
KAZ	0.24363498286241556
KEN	0.2337338366590152
KGZ	0.3347052278355551
KHM	0.09996596164961372
KOR	1.3616858292711036
KWT	0.6260021431552726
LAO	0.12481699392409243
LBN	0.6632999983683917
LBR	0.05261289841861978
LBY	0.18348560695907173
LKA	0.42011200869309095
LTU	1.2103762129151745
LUX	1.2256928503105995
LVA	1.0449512846441444
MAC	0.8507884407778169
MAR	0.1977934472833867
MDA	0.27294555604346604
MDG	0.23200596779184765
MEX	1.3884987660824577
MHL	0.5505007648853418
MKD	0.7765743015575524
MLI	0.1404868858038561
MLT	1.2037556743307467
MMR	0.10483226134257538
MNE	0.2690065061465168
MNG	0.1684403124463275
MOZ	0.1238820193891035
MRT	0.04098531800396172
MUS	0.48527037182925004
MWI	0.028647327423336276
MYS	1.1466640209372434
NAM	0.4155716307157407
NCL	0.44591489831134545
NER	0.2150375121094142
NGA	0.1261528925119745
NIC	0.18259894274038807
NLD	1.0489806850381036
NOR	1.3449727037191614
NPL	0.3197885511173106
NZL	1.0883690765634764
OMN	0.509859816300154
PAK	0.21075408841802024
PAN	1.0714286322273652
PER	0.30868585957935674
PHL	0.7578723238430739
PNG	0.12245318005312344
POL	1.2014938273237885
PRK	0.06721170486870391
PRT	1.146940913051242
PRY	0.38398590685532913
PSE	0.4906767898658238
QAT	0.5023813970760398
ROU	1.1863557406955425
RUS	0.37576454961260575
SAU	0.6017036014017036
SDN	0.12780007698902612
SEN	0.1260447318704188
SGP	1.1324520994079497
SLV	0.4344240639118035
SRB	0.7889151907080916
SUR	0.2643510503775073
SVK	1.2388787888054398
SVN	1.2801168837135242
SWE	1.1998215166699362
SWZ	0.500963605427594
SYR	0.0468284242695866
TCD	0.01507136382684584
TGO	0.2223638354235665
THA	1.1309612599861902
TJK	0.2141604085774339
TKM	0.163468057404801
TTO	0.5019882385049281
TUN	0.8936220334684559
TUR	0.963720049369202
TZA	0.2625714942045685
UGA	0.02667961221092921
UKR	0.500159154509292
URY	0.6250156787587284
USA	1.2123036340296722
UZB	0.21952968132673598
VEN	0.280759529961383
VGB	1.327110722592312
VNM	0.5877350992708011
YEM	0.05731450489380906
ZAF	0.4603938735261831
ZMB	0.3222387390586737
ZWE	0.07222904624303024
